car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Mercedes Benz GLA class GLA 200,2016,600 Triệu,Nhập khẩu,SUV,"78,000 Km",Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-gla_class-gla-200-2016-5478715
Chrysler 300C 2.7 V6,2008,370 Triệu,Nhập khẩu,Sedan,0 Km,Xăng  2.7 L,Số tự động,https://bonbanh.com/xe-chrysler-300c-2.7-v6-2008-5393480
BMW 5 Series 520i M Sport,2021,1 Tỷ 799 Triệu,Nhập khẩu,Sedan,"24,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-bmw-5_series-520i-m-sport-2021-5250937
Mazda CX5 2.0 Premium,2020,730 Triệu,Lắp ráp trong nước,SUV,"63,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.0-premium-2020-5636535
Kia Carens 1.5D Signature,2022,760 Triệu,Lắp ráp trong nước,SUV,"25,000 Km",Dầu  1.5 L,Số tự động,https://bonbanh.com/xe-kia-carens-1.5d-signature-2022-5626918
Hyundai Tucson 2.0 AT Đặc biệt,2021,750 Triệu,Lắp ráp trong nước,Crossover,"19,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2021-5630532
Hyundai i10 Grand 1.2 AT,2020,340 Triệu,Lắp ráp trong nước,Sedan,"54,000 Km",Xăng  1.25 L,Số tự động,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2020-5533786
Ford EcoSport Titanium 1.5L AT,2018,428 Triệu,Lắp ráp trong nước,SUV,"70,000 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5626611
Ford EcoSport Titanium 1.5L AT,2017,358 Triệu,Lắp ráp trong nước,SUV,"120,000 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-5626613
Toyota Hilux 2.4E 4x2 AT,2019,590 Triệu,Nhập khẩu,Bán tải / Pickup,"75,000 Km",Dầu  2.4 L,Số tự động,https://bonbanh.com/xe-toyota-hilux-2.4e-4x2-at-2019-5613202
Toyota Camry 2.0G,2021,889 Triệu,Nhập khẩu,Sedan,"60,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5557572
Mitsubishi Triton Athlete 4x2 AT,2022,679 Triệu,Nhập khẩu,Bán tải / Pickup,"50,000 Km",Dầu  2.4 L,Số tự động,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x2-at-2022-5578158
Peugeot 2008 GT Line 1.2 AT,2020,639 Triệu,Lắp ráp trong nước,Crossover,"40,000 Km",Xăng  1.2 L,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2020-5620539
Peugeot 3008 GT,2022,868 Triệu,Lắp ráp trong nước,Crossover,"10,000 Km",Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-peugeot-3008-gt-2022-5543677
Peugeot 2008 GT Line 1.2 AT,2022,695 Triệu,Lắp ráp trong nước,Crossover,"40,000 Km",Xăng  1.2 L,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-5593734
BMW X4 xDrive20i M Sport,2020,1 Tỷ 999 Triệu,Nhập khẩu,SUV,"43,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-bmw-x4-xdrive20i-m-sport-2020-5491531
Kia Seltos Premium 1.4 AT,2021,620 Triệu,Lắp ráp trong nước,Crossover,"60,000 Km",Xăng  1.4 L,Số tự động,https://bonbanh.com/xe-kia-seltos-premium-1.4-at-2021-5507923
Ford Ranger Raptor 2.0L 4x4 AT,2020,940 Triệu,Nhập khẩu,Bán tải / Pickup,"70,000 Km",Dầu  2.0 L,Số tự động,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-5463330
Toyota Fortuner 2.7V 4x2 AT,2018,755 Triệu,Nhập khẩu,SUV,"50,000 Km",Xăng  2.7 L,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2018-5416894
Mazda CX3 Deluxe 1.5 AT,2022,555 Triệu,Nhập khẩu,Crossover,"50,000 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-mazda-cx3-deluxe-1.5-at-2022-5566368
Toyota Corolla Cross 1.8V,2021,759 Triệu,Nhập khẩu,SUV,"20,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-5620556
Toyota Vios E 1.5 MT,2022,435 Triệu,Lắp ráp trong nước,Sedan,"8,000 Km",Xăng  1.5 L,Số tay,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5620521
Kia Sorento Signature 2.2 AT AWD,2022,1 Tỷ 55 Triệu,Lắp ráp trong nước,SUV,"40,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2022-5546828
Ford Focus 1.8 AT,2013,255 Triệu,Lắp ráp trong nước,Hatchback,"120,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-ford-focus-1.8-at-2013-5472315
Land,R,"Dynamic 
						2020",Nhập khẩu,SUV,"20,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-landrover-range_rover_evoque-r-dynamic-2020-5485501
Mercedes Benz GLS 450 4Matic,2021,4 Tỷ 399 Triệu,Nhập khẩu,SUV,"10,000 Km",Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-5498461
Mercedes Benz GLC 300 4Matic,2021,1 Tỷ 829 Triệu,Lắp ráp trong nước,SUV,"28,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-5497130
Hyundai i10 Grand 1.2 AT,2019,325 Triệu,Lắp ráp trong nước,Hatchback,0 Km,Xăng  1.25 L,Số tự động,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-5641026
Mercedes Benz GLC 200,2022,1 Tỷ 399 Triệu,Lắp ráp trong nước,SUV,"17,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-5608267
Audi Q8 55 TF,S,"Line Quattro 
						2023",Nhập khẩu,SUV,"2,800 Km",Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-audi-q8-55-tfsi-s-line-quattro-2023-5571104
Ford Everest Titanium 2.0L 4x4 AT,2019,68 Tỷ,Nhập khẩu,SUV,0 Km,Dầu  2.0 L,Số tự động,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2019-5641023
Kia Sedona 2.2 DAT Luxury,2020,945 Triệu,Lắp ráp trong nước,Van/Minivan,"39,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-kia-sedona-2.2-dat-luxury-2020-5631625
Audi TT,S,"line 2.0 
						2008",Nhập khẩu,Convertible/Cabriolet,"64,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-audi-tt-s-line-2.0-2008-5549235
LandRover Range Rover Autobiography LWB 5.0 V8,2019,7 Tỷ,Nhập khẩu,SUV,"62,000 Km",Xăng  5.0 L,Số tự động,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-v8-2019-5630465
BMW 3 Series 320i,2016,679 Triệu,Nhập khẩu,Sedan,"88,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-bmw-3_series-320i-2016-5547453
VinFast Fadil Tiêu chuẩn 1.4 AT,2022,339 Triệu,Lắp ráp trong nước,Hatchback,"21,000 Km",Xăng  1.4 L,Số tự động,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-5559431
