year,price,assemble_place,series,km,transmission,brand,model,engine_type_Dầu,engine_type_Hybrid,engine_type_Xăng,engine_type_Điện
2021,1390000000.0,0,1311185155.3045583,65000,1,1638801954.3973942,1360602485.6939301,False,False,True,False
2016,550000000.0,0,869486499.8761456,75000,1,894757575.7575758,594353166.0343503,False,False,True,False
2017,1099000000.0,0,1311185155.3045583,68000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2018,1199000000.0,0,1311185155.3045583,48000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2017,1080000000.0,0,1311185155.3045583,50000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2019,1050000000.0,0,1311185155.3045583,55000,1,1638801954.3973942,1360602485.6939301,False,False,True,False
2021,1399000000.0,0,1311185155.3045583,50000,1,1638801954.3973942,1360602485.6939301,False,False,True,False
2018,1120000000.0,0,1311185155.3045583,79000,1,1638801954.3973942,1070557349.0359056,False,False,True,False
2010,440000000.0,1,1311185155.3045583,124589,1,619890078.5153462,425691018.4850522,True,False,False,False
2012,660000000.0,1,1311185155.3045583,58000,1,2738120992.5405693,770875771.1687454,False,False,True,False
2016,365000000.0,0,1311185155.3045583,86000,1,746060164.083865,406012078.4875256,False,False,True,False
2019,495000000.0,0,869486499.8761456,60000,1,615941062.8019323,573440652.796361,False,False,True,False
2018,760000000.0,1,1311185155.3045583,100000,0,894757575.7575758,764636120.2461641,True,False,False,False
2015,325000000.0,0,1311185155.3045583,86000,1,746060164.083865,406012078.4875256,False,False,True,False
2020,745000000.0,0,1311185155.3045583,51000,1,615941062.8019323,743915122.0266666,False,False,True,False
2023,475000000.0,1,585967971.5302491,5600,1,465474377.2197347,441494762.975433,False,False,True,False
2022,663000000.0,1,585967971.5302491,25000,1,619890078.5153462,677558346.8164071,False,False,True,False
2018,720000000.0,0,1311185155.3045583,58000,1,779925386.934662,691180896.0805844,False,False,True,False
2023,533000000.0,1,585967971.5302491,13000,1,465474377.2197347,489470428.3217499,False,False,True,False
2022,780000000.0,0,1311185155.3045583,33000,1,587584821.4285715,790605033.3693352,False,False,False,True
2022,465000000.0,1,869486499.8761456,25000,1,465474377.2197347,475310298.7039844,False,False,True,False
2018,445000000.0,1,670343532.6842837,71000,1,517867850.09861934,491324833.77108246,True,False,False,False
2022,1919000000.0,0,869486499.8761456,15000,1,1638801954.3973942,1786508775.0643256,False,False,True,False
2021,2929000000.0,1,1311185155.3045583,28000,1,2491556000.0,2707889437.0224853,False,False,True,False
2023,6088000000.0,1,670343532.6842837,1000,1,1061786662.3768337,5026232080.034884,False,False,True,False
2021,734000000.0,0,1311185155.3045583,46000,1,587584821.4285715,710425085.4804475,False,False,True,False
2022,1899000000.0,0,869486499.8761456,18000,1,1638801954.3973942,1786508775.0643256,False,False,True,False
2019,1139000000.0,0,869486499.8761456,39000,1,1638801954.3973942,1242151893.8641334,False,False,True,False
2022,1399000000.0,0,869486499.8761456,5000,1,1638801954.3973942,1054463032.5682825,False,False,True,False
2022,4550000000.0,1,1311185155.3045583,26000,1,1638801954.3973942,4230017700.497753,False,False,True,False
