car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Hyundai i10 Grand 1.2 AT,2019,339000000.0,Lắp ráp trong nước,Hatchback,40000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-5641024,Hyundai,i10 Grand 1.2 AT
Jeep Wrangler Rubicon 2.0 4x4 AT,2021,2650000000.0,Nhập khẩu,SUV,57000,Xăng,Số tự động,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2021-5611416,Jeep,Wrangler Rubicon 2.0 4x4 AT
Jeep Wrangler Rubicon 2.0 4x4 AT,2022,2700000000.0,Nhập khẩu,SUV,60000,Xăng,Số tự động,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2022-5611366,Jeep,Wrangler Rubicon 2.0 4x4 AT
Peugeot 5008 1.6 AT,2018,685000000.0,Lắp ráp trong nước,SUV,100000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-5008-1.6-at-2018-5641020,Peugeot,5008 1.6 AT
Daewoo Winstorm 2.0 AT,2007,260000000.0,Nhập khẩu,SUV,120000,Dầu,Số tự động,https://bonbanh.com/xe-daewoo-winstorm-2.0-at-2007-5603174,Daewoo,Winstorm 2.0 AT
VinFast Lux SA 2.0 Premium 2.0 AT,2020,760000000.0,Lắp ráp trong nước,SUV,100000,Xăng,Số tự động,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2020-5634571,VinFast,Lux SA 2.0 Premium 2.0 AT
Hyundai Tucson 1.6 AT Turbo,2018,633000000.0,Lắp ráp trong nước,Crossover,80000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-2018-5632810,Hyundai,Tucson 1.6 AT Turbo
Hyundai SantaFe Cao cấp 2.2L HTRAC,2022,1168000000.0,Lắp ráp trong nước,SUV,36000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-5568362,Hyundai,SantaFe Cao cấp 2.2L HTRAC
Toyota Sienna Limited 3.5,2015,1739000000.0,Nhập khẩu,Van/Minivan,61000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-sienna-limited-3.5-2015-5580952,Toyota,Sienna Limited 3.5
Ford Mustang 2.3 EcoBoost Fastback,2019,1999000000.0,Nhập khẩu,Coupe,8000,Xăng,Số tự động,https://bonbanh.com/xe-ford-mustang-2.3-ecoboost-fastback-2019-5413631,Ford,Mustang 2.3 EcoBoost Fastback
Kia Morning SX 1.1 AT Sport,2011,186000000.0,Lắp ráp trong nước,Hatchback,100000,Xăng,Số tự động,https://bonbanh.com/xe-kia-morning-sx-1.1-at-sport-2011-5535226,Kia,Morning SX 1.1 AT Sport
