car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Hyundai Grand i10 Sedan 1.2 MT,2020,306 triệu,Trong nước,Sedan,50.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-hai-phong/gia-tot-nhat-thang-nay-aidxc23060035
Ford Territory Titanium X,2022,845 triệu,Trong nước,SUV,38.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-territory-hai-phong/gia-845-trieu-aidxc23057847
Hyundai Santa Fe 2.4L Xăng Tiêu chuẩn,2022,945 triệu,Trong nước,SUV,9.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-santa-fe-hai-phong/ban-945-trieu-aidxc23057844
Hyundai Santa Fe 2.4L Xăng Cao cấp,2021,1 tỉ 040 triệu,Trong nước,SUV,19.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-santa-fe-hai-phong/santafe-full-xang-sx-2021-dk-2022-odo-19000km-son-zin-ca-xe-aidxc23054090
Mazda CX-5,2023,825 triệu,Trong nước,Crossover,9.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-hai-phong/xe-dep-chay-9000-km-aidxc23044723
Mazda 3 Sedan 1.5L Luxury,2021,570 triệu,Trong nước,Sedan,80.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hai-phong/gia-570-trieu-aidxc23037393
Ferrari 296 GTB,2022,22 tỉ 999 triệu,Nhập khẩu,Convertible,3.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ferrari-296-gtb-hcm/22-ty-999-trieu-aidxc23012372
Land Rover Range Rover,2015,3 tỉ 450 triệu,Nhập khẩu,SUV,81.234 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-landrover-range-rover-ha-noi/xe-dep-nguyen-ban-gia-tot-aidxc22936874
Ford Everest,2023,1 tỉ 289 triệu,Nhập khẩu,,20.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-everest-ha-noi/xe-chinh-chu-chay-it-nen-con-rat-moi-aidxc23046130
Toyota Veloz,2023,628 triệu,Nhập khẩu,MPV,48.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-veloz-ha-noi/ten-ca-nhan-1-chu-mua-moi-aidxc23055384
