year,price,assemble_place,series,km,transmission,brand,model,engine_type_Dầu,engine_type_Hybrid,engine_type_Xăng,engine_type_Điện
2020.0,940000000.0,1,671747559.274756,70000,1,763160262.4179944,985793278.2425717,True,False,False,False
2018.0,755000000.0,1,1340081238.3129025,50000,1,926278793.0301743,655299844.3224378,False,False,True,False
2022.0,555000000.0,1,595104831.3582498,50000,1,617414728.6821705,550255300.9720113,False,False,True,False
2021.0,759000000.0,1,1340081238.3129025,20000,1,926278793.0301743,771146526.9877937,False,False,True,False
2022.0,435000000.0,0,890267510.9847506,8000,0,926278793.0301743,415381513.77680343,False,False,True,False
2022.0,1055000000.0,0,1340081238.3129025,40000,1,602770814.6821845,1009069229.1180403,True,False,False,False
2013.0,255000000.0,0,368454183.26693225,120000,1,763160262.4179944,231407696.69247824,False,False,True,False
2021.0,4399000000.0,1,1340081238.3129025,10000,1,1675078982.597055,4233269375.3502436,False,False,True,False
2021.0,1829000000.0,0,1340081238.3129025,28000,1,1675078982.597055,1489662150.054333,False,False,True,False
2022.0,1399000000.0,0,1340081238.3129025,17000,1,1675078982.597055,1361446070.8901935,False,False,True,False
2020.0,945000000.0,0,1088026584.8670757,39000,1,602770814.6821845,905993883.6575223,True,False,False,False
2016.0,679000000.0,1,890267510.9847506,88000,1,1492717647.0292268,579917385.5832508,False,False,True,False
2022.0,339000000.0,0,368454183.26693225,21000,1,589529801.3245033,342675347.4915113,False,False,True,False
2015.0,238000000.0,0,890267510.9847506,86000,0,626013768.115942,246922316.60929158,False,False,True,False
2021.0,999000000.0,0,1340081238.3129025,50000,1,626013768.115942,1085666326.053986,False,False,True,False
2019.0,495000000.0,0,890267510.9847506,58000,1,626013768.115942,508106819.4998509,False,False,True,False
2019.0,339000000.0,0,368454183.26693225,40000,1,626013768.115942,329321670.3652206,False,False,True,False
2021.0,2650000000.0,1,1340081238.3129025,57000,1,1674345209.1437826,2640592280.3902497,False,False,True,False
2022.0,2700000000.0,1,1340081238.3129025,60000,1,1674345209.1437826,2640592280.3902497,False,False,True,False
2018.0,685000000.0,0,1340081238.3129025,100000,1,777644893.7280196,691184130.6410123,False,False,True,False
2020.0,760000000.0,0,1340081238.3129025,100000,1,589529801.3245033,806888209.7163547,False,False,True,False
2018.0,633000000.0,0,595104831.3582498,80000,1,626013768.115942,722779272.863048,False,False,True,False
2022.0,1168000000.0,0,1340081238.3129025,36000,1,626013768.115942,1108082541.9967544,True,False,False,False
2015.0,1739000000.0,1,1088026584.8670757,61000,1,926278793.0301743,1500780060.0171566,False,False,True,False
2019.0,1999000000.0,1,2074673501.665917,8000,1,763160262.4179944,1999000000.0,False,False,True,False
2011.0,186000000.0,0,368454183.26693225,100000,1,602770814.6821845,180282129.53452298,False,False,True,False
2021.0,1065000000.0,0,1340081238.3129025,38000,1,626013768.115942,1108082541.9967544,True,False,False,False
2022.0,1329000000.0,1,890267510.9847506,54000,1,926278793.0301743,1333813391.8237312,False,True,False,False
2014.0,290000000.0,1,595104831.3582498,15000,1,881296149.4561683,1033213223.4985261,False,False,True,False
2022.0,770000000.0,0,671747559.274756,5000,1,763160262.4179944,765336594.84595,True,False,False,False
2020.0,980000000.0,1,890267510.9847506,28000,1,926278793.0301743,899489387.2816734,False,False,True,False
2022.0,518000000.0,1,1340081238.3129025,6120,1,926278793.0301743,514335083.68742156,False,False,True,False
2021.0,820000000.0,1,1340081238.3129025,20000,1,926278793.0301743,806403570.5321244,False,True,False,False
2019.0,633000000.0,1,671747559.274756,70000,1,763160262.4179944,765336594.84595,True,False,False,False
2010.0,270000000.0,0,890267510.9847506,16000,1,1675078982.597055,273056685.29139304,False,False,True,False
2014.0,315000000.0,0,890267510.9847506,83000,1,763160262.4179944,348378825.88415396,False,False,True,False
2022.0,398000000.0,1,890267510.9847506,37000,1,617414728.6821705,383084288.3735234,False,False,True,False
2022.0,498000000.0,0,890267510.9847506,39200,1,610670124.4813278,519081371.29090685,False,False,True,False
2016.0,515000000.0,0,1340081238.3129025,70000,1,602770814.6821845,502559427.996267,False,False,True,False
2016.0,445000000.0,1,1340081238.3129025,50000,1,881296149.4561683,1033213223.4985261,False,False,True,False
2021.0,579000000.0,1,1340081238.3129025,12600,1,532458847.7366255,524694992.55919105,False,False,True,False
2017.0,1129000000.0,0,1340081238.3129025,43000,1,1675078982.597055,1489662150.054333,False,False,True,False
